season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,qualyPosition_fromQ,raceGain
2021,9,Austrian Grand Prix,R,Spielberg,GAS,68.146,69.326867,0.811604,303.0,6.0,9.0,,6.0,6.0,-3.0
2021,9,Austrian Grand Prix,R,Spielberg,GIO,69.042,69.686175,0.434087,301.0,15.0,14.0,,15.0,15.0,1.0
2021,9,Austrian Grand Prix,R,Spielberg,HAM,68.126,69.385983,0.406622,293.0,4.0,4.0,,4.0,4.0,0.0
2021,9,Austrian Grand Prix,R,Spielberg,LAT,68.874,69.92675,0.452511,303.0,18.0,16.0,,18.0,18.0,2.0
2021,9,Austrian Grand Prix,R,Spielberg,LEC,68.698,69.602796,0.623589,318.0,12.0,8.0,,12.0,12.0,4.0
2021,9,Austrian Grand Prix,R,Spielberg,MAZ,69.757,70.320705,0.306921,306.0,20.0,19.0,,20.0,20.0,1.0
2021,9,Austrian Grand Prix,R,Spielberg,MSC,69.394,70.133733,0.261537,305.0,19.0,18.0,,19.0,19.0,1.0
2021,9,Austrian Grand Prix,R,Spielberg,NOR,68.471,69.2170433,0.509998,299.0,2.0,3.0,,2.0,2.0,-1.0
2021,9,Austrian Grand Prix,R,Spielberg,PER,68.192,69.310358,0.707553,302.0,3.0,6.0,,3.0,3.0,-3.0
2021,9,Austrian Grand Prix,R,Spielberg,RAI,68.52,69.830347,0.626175,307.0,16.0,15.0,,16.0,16.0,1.0
2021,9,Austrian Grand Prix,R,Spielberg,RIC,68.82,69.601074,0.563382,302.0,13.0,7.0,,13.0,13.0,6.0
2021,9,Austrian Grand Prix,R,Spielberg,RUS,68.9,69.815311,0.538113,302.0,8.0,11.0,,8.0,9.0,-3.0
2021,9,Austrian Grand Prix,R,Spielberg,SAI,67.762,69.492037,0.814243,324.0,10.0,5.0,,10.0,11.0,5.0
2021,9,Austrian Grand Prix,R,Spielberg,STR,68.659,69.663333,0.761272,297.0,9.0,13.0,,9.0,10.0,-4.0
2021,9,Austrian Grand Prix,R,Spielberg,TSU,68.455,69.663795,0.752305,303.0,7.0,12.0,,7.0,7.0,-5.0
2021,9,Austrian Grand Prix,R,Spielberg,VER,67.01844,69.2170433,0.652262,308.0,1.0,1.0,,1.0,1.0,0.0
2021,9,Austrian Grand Prix,R,Spielberg,VET,68.42,69.63838200000001,0.68272,294.0,11.0,17.0,,11.0,8.0,-6.0
2021,10,British Grand Prix,R,Silverstone,ALO,91.698,93.192069,0.679452,301.0,7.0,7.0,,7.0,11.0,0.0
2021,10,British Grand Prix,R,Silverstone,BOT,90.524,92.125595,0.918648,303.0,3.0,3.0,,3.0,3.0,0.0
2021,10,British Grand Prix,R,Silverstone,GAS,90.266,92.91305,1.042177,305.0,11.0,11.0,,11.0,12.0,0.0
2021,10,British Grand Prix,R,Silverstone,GIO,92.346,93.574256,0.645347,308.0,15.0,13.0,,15.0,14.0,2.0
2021,10,British Grand Prix,R,Silverstone,HAM,89.699,91.696382,1.09789,308.0,2.0,1.0,,2.0,1.0,1.0
2021,10,British Grand Prix,R,Silverstone,LAT,92.477,93.408083,0.533979,312.0,17.0,14.0,,17.0,18.0,3.0
2021,10,British Grand Prix,R,Silverstone,LEC,90.569,92.052617,0.728963,306.0,4.0,2.0,,4.0,4.0,2.0
2021,10,British Grand Prix,R,Silverstone,MAZ,92.909,93.80839188,0.549404,304.0,19.0,17.0,,19.0,20.0,2.0
2021,10,British Grand Prix,R,Silverstone,MSC,92.862,93.699047,0.509431,309.0,18.0,18.0,,18.0,19.0,0.0
2021,10,British Grand Prix,R,Silverstone,NOR,91.418,92.456553,0.657083,301.0,5.0,4.0,,5.0,6.0,1.0
2021,10,British Grand Prix,R,Silverstone,OCO,92.21,93.248139,0.781028,302.0,9.0,9.0,,9.0,13.0,0.0
2021,10,British Grand Prix,R,Silverstone,PER,88.617,92.812051,1.285119,312.0,,16.0,,,5.0,
2021,10,British Grand Prix,R,Silverstone,RAI,91.895,93.463657,0.720541,307.0,13.0,15.0,,13.0,17.0,-2.0
2021,10,British Grand Prix,R,Silverstone,RIC,91.284,92.754914,0.833499,303.0,6.0,5.0,,6.0,7.0,1.0
2021,10,British Grand Prix,R,Silverstone,RUS,92.049,93.453717,0.649346,309.0,12.0,12.0,,12.0,8.0,0.0
2021,10,British Grand Prix,R,Silverstone,SAI,91.223,92.585255,0.886272,316.0,10.0,6.0,,10.0,9.0,4.0
2021,10,British Grand Prix,R,Silverstone,STR,91.992,93.28934,0.677088,305.0,14.0,8.0,,14.0,15.0,6.0
2021,10,British Grand Prix,R,Silverstone,TSU,90.826,93.088725,1.010162,302.0,16.0,10.0,,16.0,16.0,6.0
2021,10,British Grand Prix,R,Silverstone,VET,92.981,93.790677,0.542154,324.0,8.0,19.0,,8.0,10.0,-11.0
2021,11,Hungarian Grand Prix,R,Budapest,ALO,80.359,82.13968,0.740042,295.0,9.0,4.0,,9.0,9.0,5.0
2021,11,Hungarian Grand Prix,R,Budapest,GAS,78.68611,82.471478,0.782448,297.0,5.0,5.0,,5.0,5.0,0.0
2021,11,Hungarian Grand Prix,R,Budapest,GIO,82.736,83.295051,0.310676,306.0,,13.0,,,14.0,
2021,11,Hungarian Grand Prix,R,Budapest,HAM,78.715,81.514352,1.187615,304.0,1.0,2.0,,1.0,1.0,-1.0
2021,11,Hungarian Grand Prix,R,Budapest,LAT,82.831,83.377642,0.25658928,300.0,18.0,7.0,,18.0,18.0,11.0
2021,11,Hungarian Grand Prix,R,Budapest,MSC,82.711,83.189677,0.260937,301.0,20.0,12.0,,20.0,,8.0
2021,11,Hungarian Grand Prix,R,Budapest,OCO,81.421,82.357941,0.742072,297.0,8.0,1.0,,8.0,8.0,7.0
2021,11,Hungarian Grand Prix,R,Budapest,RAI,81.518,82.856255,0.686531,311.0,13.0,10.0,,13.0,13.0,3.0
2021,11,Hungarian Grand Prix,R,Budapest,RIC,82.802,83.297366,0.26919,308.0,11.0,11.0,,11.0,11.0,0.0
